x-axis,y-axis,precipitation,air_temp,ocean_temp,ocean_salinity,ice_mask
1216000,2553600,529.351928711,266.376708984,273.123901367,7.21616840363,4.0
1337600,2553600,544.52746582,266.932983398,273.327026367,7.5473279953,4.0
1459200,2553600,570.559387207,267.441802979,273.466156006,7.4631986618,4.0
1580800,2553600,602.307189941,267.96307373,273.578521729,7.04675912857,4.0
1702400,2553600,625.378967285,268.572296143,273.655731201,6.43735027313,4.0
1824000,2553600,651.382507324,269.153137207,273.739654541,5.76715421677,4.0
1945600,2553600,700.636169434,269.743347168,273.854400635,5.1284532547,4.0
2067200,2553600,737.683410645,270.454681396,273.989837646,4.57007789612,4.0
2188800,2553600,766.365966797,271.1796875,,,4.0
2310400,2553600,782.659423828,271.792205811,,,4.0
2432000,2553600,787.363647461,272.278045654,,,4.0
2553600,2553600,788.908325195,272.652770996,,,4.0
2675200,2553600,789.262695312,272.890106201,,,4.0
2796800,2553600,783.956665039,273.065887451,,,4.0
2918400,2553600,773.605712891,273.214660645,,,4.0
3040000,2553600,771.043273926,273.15032959,,,4.0
-3040000,2432000,787.54083252,275.282928467,,,4.0
-2918400,2432000,755.619018555,274.955963135,,,4.0
-2796800,2432000,745.473815918,274.951477051,,,4.0
-2675200,2432000,728.379394531,274.193634033,,,4.0
-2553600,2432000,707.140563965,273.76940918,,,4.0
-2432000,2432000,686.661682129,273.304107666,,,4.0
-2310400,2432000,676.715087891,272.410919189,,,4.0
-2188800,2432000,664.282287598,271.062530518,273.687164307,14.0742444992,4.0
-2067200,2432000,637.950317383,269.540557861,273.285583496,14.3000774384,4.0
-1945600,2432000,614.729614258,268.481628418,272.991424561,14.5312891006,4.0
-1824000,2432000,592.613525391,267.757995605,272.75592041,14.7320575714,4.0
-1702400,2432000,564.65020752,267.245574951,272.588897705,14.8729047775,4.0
-1580800,2432000,545.724975586,266.765563965,272.469482422,14.9331121445,4.0
-1459200,2432000,524.28314209,266.255462646,272.426177979,14.9015989304,4.0
-1337600,2432000,499.423828125,265.779418945,272.466949463,14.7714910507,4.0
-1216000,2432000,478.918640137,265.431213379,272.487548828,14.52871418,4.0
-1094400,2432000,473.477874756,265.271575928,272.496734619,14.1663570404,4.0
-972800,2432000,464.615509033,265.25894165,272.469268799,13.6890153885,4.0
-851200,2432000,453.615997314,265.25994873,272.454315186,13.1085805893,4.0
-729600,2432000,469.762908936,264.936706543,272.456298828,12.4390859604,4.0
-608000,2432000,501.15612793,264.252716064,272.419830322,11.7005805969,4.0
-486400,2432000,506.579406738,263.46182251,272.380157471,10.9234809875,4.0
-364800,2432000,487.106994629,262.581848145,272.312652588,10.1380090714,4.0
-243200,2432000,479.112854004,261.930877686,272.279815674,9.37750816345,4.0
-121600,2432000,485.900939941,261.564361572,272.29095459,8.59263801575,4.0
0,2432000,498.875976562,261.307647705,272.330963135,7.37245130539,4.0
121600,2432000,528.516296387,261.353363037,272.387176514,5.58825826645,4.0
243200,2432000,536.710388184,261.35345459,272.430450439,4.34510946274,4.0
364800,2432000,543.941711426,261.140655518,272.464233398,3.80027723312,4.0
486400,2432000,530.937316895,261.066009521,272.519195557,3.885887146,4.0
608000,2432000,529.180358887,261.393280029,272.560943604,4.19315099716,4.0
729600,2432000,567.179992676,261.896362305,272.660522461,4.39992141724,4.0
851200,2432000,575.22454834,262.870422363,272.766387939,4.90085077286,4.0
972800,2432000,549.01776123,263.973358154,272.846160889,5.8702454567,4.0
1094400,2432000,542.28918457,264.916564941,272.94732666,7.03559160233,4.0
1216000,2432000,540.037963867,265.731994629,273.078857422,7.95983600616,4.0
1337600,2432000,546.33190918,266.478393555,273.244537354,8.35261535645,4.0
1459200,2432000,577.20123291,266.91885376,273.376190186,8.20231819153,4.0
1580800,2432000,605.071105957,267.371032715,273.456115723,7.65925168991,4.0
1702400,2432000,618.904418945,268.085723877,273.612426758,6.9147310257,4.0
1824000,2432000,653.362915039,268.754058838,273.711151123,6.13117599487,4.0
1945600,2432000,701.24432373,269.356536865,273.838928223,5.4165263176,4.0
2067200,2432000,745.151611328,270.055175781,273.964202881,4.8225402832,4.0
2188800,2432000,786.419250488,270.858642578,274.155426025,4.35147285461,4.0
2310400,2432000,806.492797852,271.608703613,,,4.0
2432000,2432000,809.031555176,272.249664307,,,4.0
2553600,2432000,807.511901855,272.751251221,,,4.0
2675200,2432000,802.107421875,273.108673096,,,4.0
2796800,2432000,795.340759277,273.385742188,,,4.0
2918400,2432000,785.925292969,273.64642334,,,4.0
3040000,2432000,778.989074707,273.708221436,,,4.0
-3040000,2310400,771.040710449,275.123840332,,,4.0
-2918400,2310400,762.371337891,274.659790039,,,4.0
-2796800,2310400,758.184387207,274.454986572,,,4.0
-2675200,2310400,734.754455566,273.733642578,,,4.0
-2553600,2310400,705.714111328,273.123352051,,,4.0
-2432000,2310400,693.376586914,272.346405029,,,4.0
-2310400,2310400,533.025390625,271.230682373,273.823577881,14.2690896988,4.0
-2188800,2310400,640.035461426,269.828979492,273.344665527,14.4076986313,4.0
-2067200,2310400,592.173217773,268.537017822,273.082672119,14.6938180923,4.0
-1945600,2310400,550.697570801,267.68069458,272.799194336,14.9552001953,4.0
-1824000,2310400,527.028686523,267.10748291,272.582794189,15.1792755127,4.0
-1702400,2310400,508.174285889,266.638946533,272.468841553,15.3417634964,4.0
-1580800,2310400,503.014007568,266.094696045,272.417053223,15.4249505997,4.0
-1459200,2310400,495.7605896,265.452606201,272.416625977,15.4121761322,4.0
-1337600,2310400,473.584289551,264.867645264,272.435882568,15.2897424698,4.0
-1216000,2310400,442.512939453,264.448028564,272.43637085,15.0481710434,4.0
-1094400,2310400,444.05178833,264.219451904,272.414855957,14.6817378998,4.0
-972800,2310400,447.542419434,264.029388428,272.385253906,14.1979761124,4.0
-851200,2310400,451.289978027,263.854370117,272.352752686,13.6043176651,4.0
-729600,2310400,475.967193604,263.484771729,272.321136475,12.9127912521,4.0
-608000,2310400,506.486694336,262.770172119,272.268951416,12.1446256638,4.0
-486400,2310400,511.448791504,262.107391357,272.242095947,11.3380832672,4.0
-364800,2310400,488.662261963,261.506896973,272.198486328,10.5207996368,4.0
-243200,2310400,481.862060547,261.078521729,272.153930664,9.72588729858,4.0
-121600,2310400,490.379455566,260.882781982,272.124603271,9.46278953552,4.0
0,2310400,507.506500244,260.412139893,272.153289795,8.68365764618,4.0
121600,2310400,514.27734375,260.483673096,272.204345703,5.1949877739,4.0
243200,2310400,520.422180176,260.83190918,272.273132324,4.05726575851,4.0
364800,2310400,530.153015137,260.964752197,272.304046631,3.41322302818,4.0
486400,2310400,513.253051758,261.059570312,272.311218262,4.02534818649,4.0
608000,2310400,509.401947021,260.875,272.33380127,4.94382381439,4.0
