x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_thickness
-243200,2067200,404.280639648,251.581512451,272.344940186,738.645446777
-121600,2067200,527.547485352,250.521286011,272.534759521,463.837524414
0,2067200,352.272277832,249.629226685,272.597290039,393.135192871
121600,2067200,261.181396484,251.433914185,273.296386719,840.517272949
243200,2067200,358.309295654,250.613601685,273.66619873,794.453308105
364800,2067200,101.28717041,251.826675415,273.610137939,635.581970215
486400,2067200,236.30519104,252.893005371,273.423950195,1033.93261719
608000,2067200,254.874176025,252.892196655,273.565673828,401.585174561
729600,2067200,259.316070557,254.88293457,273.485168457,0.0
851200,2067200,307.132751465,262.44229126,272.876556396,0.0
972800,2067200,383.164459229,263.999847412,272.460510254,0.0
1094400,2067200,467.397003174,264.817230225,272.424621582,0.0
1216000,2067200,522.458374023,265.192352295,272.385620117,0.0
1337600,2067200,617.944335938,265.886901855,272.638916016,0.0
1459200,2067200,615.346496582,266.84954834,272.688598633,0.0
1580800,2067200,678.547302246,268.081878662,272.93661499,0.0
1702400,2067200,737.837524414,268.423248291,273.175048828,0.0
1824000,2067200,774.78125,268.674316406,273.398498535,0.0
1945600,2067200,823.652954102,268.895172119,273.63571167,0.0
2067200,2067200,874.129150391,268.898864746,273.766571045,0.0
2188800,2067200,893.585327148,269.241394043,273.894134521,0.0
2310400,2067200,900.266906738,269.956665039,274.062286377,0.0
2432000,2067200,925.771240234,270.761749268,274.27722168,0.0
2553600,2067200,964.140197754,271.589050293,274.535491943,0.0
-2675200,1945600,705.257568359,272.5625,274.594726562,0.0
-2553600,1945600,644.26739502,271.065032959,273.924346924,0.0
-2432000,1945600,592.606323242,269.436798096,273.390350342,0.0
-2310400,1945600,534.409118652,268.255004883,273.083068848,0.0
-2188800,1945600,508.560760498,267.348236084,272.856079102,0.0
-2067200,1945600,495.453277588,266.455566406,272.640594482,0.0
-1945600,1945600,504.180175781,265.57409668,272.532745361,0.0
-1824000,1945600,493.036437988,264.753387451,272.455627441,0.0
-1702400,1945600,446.156555176,264.092895508,272.417053223,0.0
-1580800,1945600,401.76348877,263.539428711,272.412109375,0.0
-1459200,1945600,359.7237854,262.973419189,272.410614014,0.0
-1337600,1945600,326.338623047,262.475158691,272.40222168,0.0
-1216000,1945600,306.821105957,262.076446533,272.378112793,0.0
-1094400,1945600,308.144134521,261.795227051,272.340942383,0.0
-972800,1945600,305.841918945,261.56237793,272.314971924,0.0
-851200,1945600,286.557891846,261.336090088,272.284576416,0.0
-729600,1945600,277.232116699,261.35546875,272.271331787,0.0
-608000,1945600,302.673461914,261.455352783,272.257232666,0.0
-486400,1945600,345.779663086,260.646362305,272.289520264,0.0
-364800,1945600,186.801818848,251.436431885,272.184448242,433.949462891
-243200,1945600,228.084350586,249.175735474,272.485015869,775.997192383
-121600,1945600,461.252807617,244.585754395,272.646972656,836.556762695
0,1945600,247.852111816,245.556732178,272.825622559,765.146850586
121600,1945600,137.003936768,239.514190674,273.108215332,390.730773926
243200,1945600,208.756500244,237.898086548,273.338439941,205.119644165
364800,1945600,24.05493927,239.428649902,273.437042236,705.13873291
486400,1945600,235.269958496,243.499557495,273.538543701,1229.11071777
608000,1945600,139.978622437,248.213760376,273.798858643,1252.45544434
729600,1945600,73.8946533203,251.535491943,274.15020752,397.548675537
851200,1945600,84.2209777832,253.604003906,274.271881104,0.0
972800,1945600,122.411026001,254.548980713,273.941833496,245.055511475
1094400,1945600,296.400054932,257.117340088,272.80847168,303.933654785
1216000,1945600,302.577148438,258.6534729,272.011566162,0.0
1337600,1945600,833.270202637,263.782470703,272.551086426,0.0
1459200,1945600,638.17364502,265.609130859,272.503875732,0.0
1580800,1945600,678.044555664,267.026184082,272.81161499,0.0
1702400,1945600,770.735595703,267.596130371,273.014038086,0.0
1824000,1945600,808.244995117,268.17288208,273.173706055,0.0
1945600,1945600,866.708251953,268.784393311,273.340118408,0.0
2067200,1945600,920.756469727,268.97769165,273.481781006,0.0
2188800,1945600,935.59777832,268.954193115,273.635253906,0.0
2310400,1945600,920.517089844,269.369995117,273.824005127,0.0
2432000,1945600,933.110229492,270.100738525,274.04876709,0.0
2553600,1945600,962.989196777,270.920898438,274.313476562,0.0
2675200,1945600,989.6796875,271.864959717,274.61819458,0.0
-2675200,1824000,723.613830566,272.43661499,274.19128418,0.0
-2553600,1824000,619.192199707,270.699371338,273.443725586,0.0
-2432000,1824000,557.352600098,268.791381836,273.076629639,0.0
-2310400,1824000,512.577148438,267.332489014,272.737854004,0.0
-2188800,1824000,456.755310059,266.387023926,272.601867676,0.0
-2067200,1824000,428.941009521,265.660644531,272.465576172,0.0
-1945600,1824000,416.306091309,264.919158936,272.370666504,0.0
-1824000,1824000,400.020629883,264.068511963,272.341644287,0.0
-1702400,1824000,357.337585449,263.335174561,272.317169189,0.0
-1580800,1824000,326.505645752,262.735046387,272.305511475,0.0
-1459200,1824000,291.784423828,262.13583374,272.300354004,0.0
-1337600,1824000,269.101837158,261.623779297,272.296325684,0.0
-1216000,1824000,260.975006104,261.188140869,272.279571533,0.0
-1094400,1824000,270.508148193,260.982788086,272.253936768,0.0
-972800,1824000,275.081512451,260.79309082,272.231933594,0.0
-851200,1824000,261.762878418,260.603668213,272.211669922,0.0
-729600,1824000,247.090301514,260.90020752,272.201019287,0.0
-608000,1824000,284.492675781,259.473480225,272.245269775,0.0
-486400,1824000,313.553070068,250.175125122,272.43157959,336.116210938
-364800,1824000,232.738769531,250.046356201,272.45123291,1352.41088867
-243200,1824000,125.927696228,243.397171021,272.515930176,789.16583252
-121600,1824000,165.824188232,237.770812988,272.636535645,1855.7401123
0,1824000,133.575973511,235.86088562,272.758789062,2001.10168457
121600,1824000,59.6218109131,232.790740967,272.967346191,1666.328125
243200,1824000,46.6621208191,229.839523315,273.143463135,2463.61938477
364800,1824000,41.6861381531,231.40335083,273.291625977,2384.75317383
486400,1824000,108.993606567,233.594467163,273.430938721,1375.61010742
608000,1824000,133.421630859,238.842697144,273.607940674,890.662780762
729600,1824000,-2.95893859863,243.7578125,273.790802002,859.560546875
851200,1824000,-7.34898376465,248.107208252,273.887420654,1077.59204102
972800,1824000,10.9158325195,252.088058472,273.883850098,1132.90100098
1094400,1824000,88.2822799683,251.118560791,273.052581787,937.781799316
1216000,1824000,189.447814941,252.220901489,272.474212646,840.079223633
1337600,1824000,809.461791992,256.165863037,271.962615967,0.0
1459200,1824000,490.323974609,264.065856934,272.651245117,0.0
1580800,1824000,446.606201172,265.025238037,273.23059082,0.0
1702400,1824000,729.460388184,265.452209473,273.223052979,0.0
1824000,1824000,849.242919922,266.352813721,272.981719971,0.0
1945600,1824000,891.799743652,267.416656494,273.067230225,0.0
2067200,1824000,974.795227051,268.44039917,273.134338379,0.0
2188800,1824000,1042.1340332,268.839904785,273.330352783,0.0
2310400,1824000,974.240966797,269.111328125,273.57321167,0.0
2432000,1824000,938.637817383,269.719787598,273.831634521,0.0
2553600,1824000,957.616027832,270.383300781,274.108551025,0.0
2675200,1824000,987.870178223,271.291931152,274.42666626,0.0
-2796800,1702400,722.12902832,273.106719971,274.844665527,0.0
-2675200,1702400,688.33001709,272.240142822,274.136962891,0.0
-2553600,1702400,563.004699707,270.654144287,273.487976074,0.0
-2432000,1702400,423.907501221,267.904144287,272.817474365,0.0
-2310400,1702400,398.914978027,266.431427002,272.511962891,0.0
-2188800,1702400,395.181610107,265.445129395,272.36227417,0.0
-2067200,1702400,363.981536865,264.844116211,272.28515625,0.0
-1945600,1702400,336.077423096,264.218566895,272.23147583,0.0
-1824000,1702400,313.810424805,263.465423584,272.220214844,0.0
-1702400,1702400,279.543426514,262.667327881,272.205047607,0.0
-1580800,1702400,253.390777588,261.981079102,272.196899414,0.0
-1459200,1702400,232.318389893,261.359466553,272.189727783,0.0
-1337600,1702400,223.499511719,260.831207275,272.186676025,0.0
-1216000,1702400,227.178131104,260.396575928,272.186065674,0.0
-1094400,1702400,236.374359131,260.259063721,272.175079346,0.0
-972800,1702400,250.840377808,260.16015625,272.167938232,0.0
-851200,1702400,238.851226807,260.063262939,272.145507812,0.0
-729600,1702400,231.294952393,260.640625,272.121582031,0.0
-608000,1702400,170.389312744,251.660720825,272.005767822,311.867645264
-486400,1702400,118.009361267,248.337997437,272.269134521,457.280517578
-364800,1702400,217.031555176,247.678344727,272.281280518,1204.25646973
-243200,1702400,201.755065918,240.729721069,272.453948975,991.63269043
-121600,1702400,57.1396179199,231.852828979,272.549346924,2281.21289062
0,1702400,72.2125473022,229.546508789,272.678222656,2241.75268555
121600,1702400,65.1156158447,229.027069092,272.838928223,2770.38476562
243200,1702400,49.0438308716,227.169616699,272.989257812,2776.53198242
364800,1702400,46.0491256714,226.408157349,273.134246826,2954.33129883
486400,1702400,55.4937057495,228.133758545,273.264190674,2629.77490234
608000,1702400,80.3740005493,231.550888062,273.392974854,1826.65759277
729600,1702400,63.2227325439,234.770721436,273.499938965,1865.73876953
851200,1702400,175.857757568,237.102676392,273.537841797,731.593994141
972800,1702400,97.9282150269,243.360778809,273.475738525,1782.42053223
1094400,1702400,62.3743057251,245.460876465,273.00680542,1551.12780762
1216000,1702400,74.440826416,246.012069702,272.61831665,1331.75866699
1337600,1702400,480.80368042,248.961685181,272.348602295,751.417724609
1459200,1702400,168.17401123,251.58442688,272.406677246,1011.59185791
1580800,1702400,220.257553101,248.385604858,273.108978271,1219.14404297
1702400,1702400,624.417053223,253.01121521,273.306488037,893.520202637
1824000,1702400,848.758911133,259.982971191,272.946655273,239.257858276
1945600,1702400,824.33215332,265.0574646,273.323486328,0.0
2067200,1702400,740.422119141,266.661651611,273.059112549,0.0
2188800,1702400,1084.22790527,267.937103271,273.176849365,0.0
2310400,1702400,1077.97143555,268.769836426,273.349975586,0.0
2432000,1702400,952.754150391,269.414123535,273.643798828,0.0
2553600,1702400,943.625,270.138000488,273.95413208,0.0
2675200,1702400,974.189697266,271.04574585,274.267089844,0.0
2796800,1702400,1011.08258057,272.115142822,274.599639893,0.0
-2918400,1580800,705.92364502,273.316925049,274.617370605,0.0
-2796800,1580800,718.357116699,272.697875977,274.43649292,0.0
-2675200,1580800,752.391052246,271.7996521,274.041381836,0.0
-2553600,1580800,610.026245117,270.447540283,273.45880127,0.0
-2432000,1580800,378.449676514,267.152008057,272.851013184,0.0
-2310400,1580800,317.836364746,265.449829102,272.292938232,0.0
-2188800,1580800,330.9480896,264.541748047,272.143127441,0.0
-2067200,1580800,298.734588623,264.113006592,272.099334717,0.0
-1945600,1580800,272.464202881,263.641113281,272.086608887,0.0
-1824000,1580800,248.307189941,262.920257568,272.096954346,0.0
-1702400,1580800,225.859268188,262.0625,272.092254639,0.0
-1580800,1580800,209.301574707,261.347717285,272.088897705,0.0
-1459200,1580800,198.060455322,260.67880249,272.079071045,0.0
