x-axis,y-axis,precipitation,air_temp,ocean_temp,ice_velocity
1824000,1459200,204.38394165,241.109191895,273.449707031,3.10434031487
1945600,1459200,259.643890381,243.809768677,273.976867676,2.63727116585
2067200,1459200,708.245910645,246.474273682,274.844665527,16.8322677612
-2432000,1337600,1096.28808594,260.011535645,273.219238281,1.70881605148
-608000,1337600,169.123321533,245.686630249,271.828430176,12.2892551422
-486400,1337600,37.868309021,240.113388062,271.793426514,11.3228168488
-364800,1337600,36.1443710327,236.735580444,272.037231445,2.20849776268
-243200,1337600,40.5883255005,233.928375244,272.142974854,24.0030250549
-121600,1337600,41.1023864746,231.313278198,272.199737549,22.7950801849
0,1337600,34.1977653503,228.916442871,272.268585205,18.446975708
121600,1337600,32.4252738953,227.346710205,272.493011475,19.2332935333
243200,1337600,31.7869491577,225.606567383,272.599304199,13.50020504
364800,1337600,29.0215988159,223.224563599,272.70022583,7.43407869339
486400,1337600,28.5764198303,221.59413147,272.781433105,4.62661981583
608000,1337600,28.2984924316,220.340637207,272.845245361,2.25585508347
729600,1337600,33.3187408447,220.275741577,272.885864258,1.42872834206
851200,1337600,46.5852546692,222.746841431,272.897644043,9.40176486969
972800,1337600,57.3425254822,224.86289978,272.877563477,10.266084671
1094400,1337600,59.7030220032,226.035415649,272.838317871,5.48242139816
1216000,1337600,66.1822967529,227.982849121,272.802276611,17.9666423798
1337600,1337600,81.3004455566,229.996490479,272.797393799,27.2871303558
1459200,1337600,89.0690841675,231.229660034,272.843109131,13.1564559937
1580800,1337600,93.3180847168,232.405380249,272.94619751,6.06722640991
1702400,1337600,117.372085571,233.934814453,273.088317871,17.7956848145
1824000,1337600,109.852958679,235.361999512,273.287963867,1.02848362923
1945600,1337600,191.491897583,239.694351196,273.531219482,19.156463623
2067200,1337600,267.853057861,247.681793213,273.661224365,2.8706240654
-2432000,1216000,2333.78710938,261.670776367,273.651794434,3.25343108177
-2310400,1216000,446.354614258,257.367675781,272.660217285,0.385429859161
-2188800,1216000,388.773590088,258.279815674,271.835693359,831.910949707
-729600,1216000,276.051025391,253.777175903,271.756195068,12.3098716736
-608000,1216000,39.6603164673,242.775131226,271.810180664,21.5369472504
-486400,1216000,61.1423606873,241.067718506,271.780395508,24.5683078766
-364800,1216000,45.1974983215,238.129043579,271.969482422,24.2152175903
-243200,1216000,54.7540893555,235.56854248,272.074310303,1.50493586063
-121600,1216000,35.5355072021,231.962402344,272.185943604,8.01551055908
0,1216000,31.1680755615,229.173843384,272.201324463,19.8313350677
121600,1216000,32.3355407715,227.332763672,272.280090332,19.4443759918
243200,1216000,33.1626396179,225.476715088,272.494262695,13.9658613205
364800,1216000,26.6083068848,223.223358154,272.585723877,7.45317935944
486400,1216000,24.5986289978,221.570068359,272.658996582,4.47317075729
608000,1216000,27.7255592346,219.723205566,272.717498779,2.76815032959
729600,1216000,23.4197826385,219.076202393,272.758300781,0.724129080772
851200,1216000,31.7371177673,218.680053711,272.779510498,2.12604141235
972800,1216000,36.3662872314,220.512527466,272.782073975,2.85396909714
1094400,1216000,42.0149650574,221.517501831,272.77243042,3.13029718399
1216000,1216000,47.8086051941,223.85949707,272.763000488,7.40820503235
1337600,1216000,50.6874847412,225.861236572,272.767059326,6.50140380859
1459200,1216000,54.4818687439,226.977264404,272.794250488,2.19780945778
1580800,1216000,61.646484375,227.873931885,272.851165771,1.56997990608
1702400,1216000,68.4927520752,229.67640686,272.929138184,3.04127979279
