x-axis,y-axis,precipitation,precip_1,precip_2,precip_3,precip_4,precip_5,precip_6,precip_7,precip_8
243200,2918400,502.63192749,518.752380371,508.150024414,504.425445557,493.7137146,477.415039062,469.937988281,473.427307129,513.037841797
364800,2918400,493.7137146,508.150024414,504.425445557,501.648498535,489.494567871,489.463317871,477.415039062,469.937988281,502.63192749
486400,2918400,489.494567871,504.425445557,501.648498535,498.575592041,485.694030762,500.251647949,489.463317871,477.415039062,493.7137146
608000,2918400,485.694030762,501.648498535,498.575592041,513.290710449,491.999908447,501.305908203,500.251647949,489.463317871,489.494567871
729600,2918400,491.999908447,498.575592041,513.290710449,547.595214844,518.826416016,517.410766602,501.305908203,500.251647949,485.694030762
851200,2918400,518.826416016,513.290710449,547.595214844,584.740112305,556.143676758,550.993591309,517.410766602,501.305908203,491.999908447
972800,2918400,556.143676758,547.595214844,584.740112305,624.694274902,591.276428223,579.824707031,550.993591309,517.410766602,518.826416016
1094400,2918400,591.276428223,584.740112305,624.694274902,678.544250488,634.268432617,606.401306152,579.824707031,550.993591309,556.143676758
1216000,2918400,634.268432617,624.694274902,678.544250488,732.7890625,685.929931641,652.124816895,606.401306152,579.824707031,591.276428223
1337600,2918400,685.929931641,678.544250488,732.7890625,766.453735352,731.706542969,713.031860352,652.124816895,606.401306152,634.268432617
1459200,2918400,731.706542969,732.7890625,766.453735352,780.931884766,753.117736816,744.032409668,713.031860352,652.124816895,685.929931641
1580800,2918400,753.117736816,766.453735352,780.931884766,797.230224609,772.596984863,763.607421875,744.032409668,713.031860352,731.706542969
1702400,2918400,772.596984863,780.931884766,797.230224609,803.022460938,791.596313477,784.834838867,763.607421875,744.032409668,753.117736816
1824000,2918400,791.596313477,797.230224609,803.022460938,806.630187988,808.398986816,806.818603516,784.834838867,763.607421875,772.596984863
1945600,2918400,808.398986816,803.022460938,806.630187988,817.553039551,824.302490234,827.688964844,806.818603516,784.834838867,791.596313477
2067200,2918400,824.302490234,806.630187988,817.553039551,846.530700684,844.045715332,836.240661621,827.688964844,806.818603516,808.398986816
2188800,2918400,844.045715332,817.553039551,846.530700684,889.405212402,884.820495605,860.995300293,836.240661621,827.688964844,824.302490234
2310400,2918400,884.820495605,846.530700684,889.405212402,919.341674805,932.677856445,917.663391113,860.995300293,836.240661621,844.045715332
