x-axis,y-axis,ice_thickness,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-1459200,2918400,0.0,555.681030273,267.343841553,272.922912598,3262870.392767693,5.579071044999978,267.34483846044446,2.2153799929755558e+36,555.0742730034445
-1337600,2918400,0.0,542.687744141,266.800079346,272.839782715,3210332.1198904016,6.039703368999994,266.80532158755557,1.1076899964877779e+36,549.1126776801111
-1216000,2918400,0.0,525.326416016,266.395874023,272.77822876,3161600.0,6.382354737000014,266.35388183599997,272.78509521488894,538.1240980360001
-1094400,2918400,0.0,524.845275879,265.986755371,272.735076904,3116852.566291835,6.748321532999967,265.9534776476666,272.7447068955555,527.5156216091111
-972800,2918400,0.0,517.680786133,265.590942383,272.703765869,3076263.7078117994,7.112823485999968,265.58641221811115,272.71769205711115,517.3809238010001
-851200,2918400,0.0,506.736999512,265.236358643,272.683532715,3040000.0,7.447174071999996,265.28702121333333,272.7052781845556,508.7257554796666
-729600,2918400,0.0,506.89364624,265.007751465,272.692962646,3008217.864450645,7.685211181,265.0725165474445,272.7049831813334,502.3561537002222
-608000,2918400,0.0,501.260864258,264.87008667,272.714538574,2981060.643462323,7.844451904000039,264.933142768,272.7063802083333,497.48456827822224
-486400,2918400,0.0,487.0027771,264.784667969,272.703918457,2958655.694737054,7.919250487999989,264.8428446451111,272.7042575413333,495.52989366344445
-364800,2918400,0.0,497.007904053,264.746582031,272.699035645,2941111.6265793107,7.952453613999978,264.7777811685556,272.6976352267777,499.73615180144446
-243200,2918400,0.0,517.234802246,264.713012695,272.697479248,2928515.8015622864,7.984466553000004,264.75880940755553,272.69417995866667,507.3144870334445
-121600,2918400,0.0,516.704345703,264.771392822,272.693328857,2920932.2347497214,7.921936034999987,264.79043240022224,272.6977403427778,509.9324239095556
0,2918400,0.0,513.388916016,264.851989746,272.704742432,2918400.0,7.852752685999974,264.85866631411113,272.71433851455555,506.4394056532222
121600,2918400,0.0,513.037841797,264.900909424,272.741363525,2920932.2347497214,7.8404541009999775,264.949306912,272.73550075966665,500.26470947266665
243200,2918400,0.0,502.63192749,265.030487061,272.751068115,2928515.8015622864,7.720581054000036,265.0498894585555,272.76803588866665,495.7212965223333
364800,2918400,0.0,493.7137146,265.17791748,272.800262451,2941111.6265793107,7.622344970999961,265.18516031900003,272.81517198344443,492.98672485344446
486400,2918400,0.0,489.494567871,265.36907959,272.883636475,2958655.694737054,7.51455688499999,265.3571065265555,272.8861965601111,493.4090949164444
