x-axis,y-axis,ice_thickness,ice_velocity,ice_mask,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-972800,2675200,0.0,,4,534.25769043,264.995147705,272.803283691,2846583.018287013,7.808135985999968,265.08167182088886,272.7888047958889,524.8450690374444
-851200,2675200,0.0,,4,492.38092041,264.874450684,272.796661377,2807353.9997656154,7.922210693000011,264.93198649100003,272.7849426268889,497.4076571993333
-729600,2675200,0.0,,4,472.648010254,264.872070312,272.796386719,2772906.6338411034,7.924316406999992,264.8846266005555,272.7847934297778,473.48744032111114
-608000,2675200,0.0,,4,453.032012939,264.912200928,272.790985107,2743421.046795406,7.878784178999979,264.88451131177777,272.77870686844443,455.74820285366667
-486400,2675200,0.0,,4,437.515960693,264.918670654,272.753051758,2719058.6606397443,7.834381104000045,264.89399888766667,272.75512017144445,442.1084594725556
-364800,2675200,0.0,,4,433.970397949,264.915863037,272.720153809,2699958.162638821,7.804290772000002,264.8885871038889,272.72286648233336,434.8441704642222
-243200,2675200,0.0,,4,432.045684814,264.871704102,272.70199585,2686231.799379942,7.830291747999979,264.8924628363333,272.6999613444444,437.01637098511105
-121600,2675200,0.0,,4,442.623291016,264.877746582,272.700958252,2677962.210338301,7.823211670000035,264.90975952155554,272.70045979822225,441.7551506888889
0,2675200,0.0,,4,440.746795654,264.915863037,272.729095459,2675200.0,7.813232421999999,264.94128417977777,272.72064887166675,444.44394259977776
121600,2675200,0.0,,4,433.224060059,264.921173096,272.765716553,2677962.210338301,7.844543456999986,264.98177761511107,272.75106472455553,444.13954332122216
243200,2675200,0.0,,4,435.888061523,264.953186035,272.807006836,2686231.799379942,7.85382080100004,265.0303073461111,272.7892049154445,446.8839314776667
364800,2675200,0.0,,4,456.466796875,265.025054932,272.862030029,2699958.162638821,7.836975096999993,265.10259670688885,272.837524414,458.1034342446667
486400,2675200,0.0,,4,486.920166016,265.127807617,272.907531738,2719058.6606397443,7.779724121000015,265.2306959364444,272.8910285101111,477.45409817155564
608000,2675200,0.0,,4,519.252746582,265.296051025,272.937530518,2743421.046795406,7.64147949300002,265.4489034016667,272.9529385036667,497.166486952
729600,2675200,0.0,,4,530.300354004,265.620574951,272.999725342,2772906.6338411034,7.379150390999996,265.7306484646667,273.02855767144445,514.1484815808889
851200,2675200,0.0,,4,537.992614746,265.947875977,273.103271484,2807353.9997656154,7.15539550699998,266.0253160265556,273.14146931966667,531.1385294597778
972800,2675200,0.0,,4,557.928405762,266.257751465,273.261474609,2846583.018287013,7.003723143999991,266.3022766114444,273.29864841022226,551.5161268447778
1094400,2675200,0.0,,4,577.186340332,266.576751709,273.496643066,2890399.0035979464,6.919891356999983,266.6110975477778,273.4911261662222,573.4379950629999
1216000,2675200,0.0,,4,590.070068359,266.979278564,273.736083984,2938596.7807782,6.756805419999978,266.96083916566664,273.6914672848889,600.2243855794445
1337600,2675200,0.0,,4,628.481201172,267.357025146,273.904632568,2990964.5267037186,6.547607421999999,267.3662109374444,273.8442552353333,638.995259603
1459200,2675200,0.0,,4,688.666748047,267.800842285,273.960510254,3047287.265749654,6.159667968999997,267.8320821126666,273.9308200411111,685.0522121854444
1580800,2675200,0.0,,4,731.652099609,268.36618042,273.958892822,3107349.944888731,5.592712402000018,268.3394504122222,273.96680704744443,728.0103963216667
1702400,2675200,0.0,,4,761.375732422,268.877075195,273.978393555,3170940.0498905685,5.10131836000005,268.82479476925,273.99003982525,759.37338256825
1824000,2675200,0.0,,4,792.599609375,269.402038574,274.046142578,3237849.755624865,4.644104003999985,269.37682233514283,274.0427943637143,793.7291608538571
1945600,2675200,0.0,,4,826.294799805,269.944122314,274.147949219,3307877.62772446,4.203826904999971,269.9640563964,274.1141174316,832.7704833985999
-2067200,2553600,0.0,,4,629.660522461,270.364776611,273.53137207,3285451.080141051,3.16659545899995,269.8276977538333,273.383087158,633.5735677085
-1945600,2553600,0.0,,4,642.504577637,269.431396484,273.071655273,3210332.1198904016,3.6402587889999722,269.193256378125,273.21485900849996,626.544570923
-1824000,2553600,0.0,,4,635.005065918,268.637664795,273.055969238,3138128.2574171503,4.418304443000011,268.56382921,273.06940036333333,614.0048624676667
-1702400,2553600,0.0,,4,611.15411377,267.957855225,272.916229248,3069045.2456749477,4.958374022999976,267.8676249185556,272.95854017455554,600.4071180556666
-1580800,2553600,0.0,,4,600.429260254,267.300750732,272.854980469,3003298.453367564,5.554229737000014,267.18826972100004,272.88059488933334,589.1020439996669
-1459200,2553600,0.0,,4,597.046508789,266.575653076,272.831573486,2941111.6265793107,6.255920410000044,266.50963338199995,272.8442789713333,580.855278863
-1337600,2553600,0.0,,4,581.50958252,265.895385742,272.856506348,2882715.1645627427,6.961120606000009,265.8768480086667,272.8255038792222,571.5379163955555
-1216000,2553600,0.0,,4,570.389526367,265.365234375,272.83215332,2828343.8546258835,7.466918944999975,265.37444390177774,272.8203023275555,556.9014553494444
-1094400,2553600,0.0,,4,552.02923584,265.003265381,272.835021973,2778234.0290191537,7.8317565919999765,265.0280354816667,272.81208631733335,537.0509880912223
-972800,2553600,0.0,,4,519.206787109,264.814086914,272.823699951,2732620.1345960987,8.009613037000008,264.83336724177775,272.80602688255556,508.1496073404444
-851200,2553600,0.0,,4,476.458343506,264.79284668,272.79977417,2691730.7443353245,8.006927489999953,264.7640652126667,272.79944864899994,477.89457194011106
-729600,2553600,0.0,,4,454.527313232,264.856750488,272.806610107,2655784.087609533,7.949859618999994,264.772945828,272.79194471555553,452.66927761511107
-608000,2553600,0.0,,4,438.812896729,264.916381836,272.80480957,2624983.230422625,7.888427733999947,264.8160434298889,272.7758687336666,434.0586039225556
-486400,2553600,0.0,,4,415.23059082,264.963134766,272.777008057,2599511.092494125,7.813873290999993,264.8503926594444,272.73808119033333,416.9011501735556
-364800,2553600,0.0,,4,397.650299072,264.968139648,272.689758301,2579525.5377685255,7.721618653000007,264.8659261066666,272.69378323044447,403.88202582444444
-243200,2553600,0.0,,4,394.282806396,264.963684082,272.643463135,2565154.8101430447,7.679779053000004,264.8882581922223,272.6626146105556,401.7563544377778
-121600,2553600,0.0,,4,403.229187012,265.042602539,272.64553833,2556493.5986620425,7.60293579100005,264.92918904622223,272.6640285916667,408.50534396688886
0,2553600,0.0,,4,419.316741943,265.07824707,272.682250977,2553600.0,7.604003907000049,264.98908827044437,272.69091118711117,416.2097676594445
121600,2553600,0.0,,4,421.852539062,265.098754883,272.723114014,2556493.5986620425,7.624359130999949,265.051961263,272.7297125923334,421.04610527866663
243200,2553600,0.0,,4,423.441101074,265.186706543,272.765899658,2565154.8101430447,7.57919311500001,265.09333970822223,272.7708943685555,424.9867248533334
364800,2553600,0.0,,4,430.302490234,265.210174561,272.825897217,2579525.5377685255,7.615722656000003,265.10672336155557,272.81597900400004,434.39666408955554
486400,2553600,0.0,,4,453.095947266,265.182128906,272.909393311,2599511.092494125,7.727264404999971,265.18951416022225,272.8597446018889,451.09785630966667
608000,2553600,0.0,,4,483.918731689,265.458831787,272.934082031,2624983.230422625,7.475250243999994,265.40491061744444,272.90737236877777,472.88591851122214
729600,2553600,0.0,,4,509.989562988,265.838134766,272.962005615,2655784.087609533,7.1238708490000135,265.7137451173333,272.96352132155556,494.29456922733334
851200,2553600,0.0,,4,526.914001465,266.045288086,273.015838623,2691730.7443353245,6.970550536999951,266.01124064144443,273.04828898100004,514.5138108995557
972800,2553600,0.0,,4,547.411560059,266.282318115,273.152130127,2732620.1345960987,6.869812012000011,266.26745605477777,273.17632717544444,535.2630954319999
1094400,2553600,0.0,,4,567.983154297,266.565338135,273.341064453,2778234.0290191537,6.775726318000011,266.57094658744444,273.3500061033333,557.9345228407778
1216000,2553600,0.0,,4,583.142822266,266.966003418,273.580200195,2828343.8546258835,6.614196776999961,266.93638780377773,273.5633477102222,585.7992282443333
1337600,2553600,0.0,,4,616.805053711,267.390441895,273.848999023,2882715.1645627427,6.458557127999995,267.35775078666666,273.7508070201111,622.8412339952222
1459200,2553600,0.0,,4,672.233459473,267.844116211,273.93560791,2941111.6265793107,6.09149169899996,267.8274332683333,273.86946614566665,667.1010064018889
1580800,2553600,0.0,,4,718.442260742,268.390930176,273.946746826,3003298.453367564,5.555816649999997,268.3269992404444,273.92258368588887,712.1481933593333
1702400,2553600,0.0,,4,759.051574707,268.943695068,273.962005615,3069045.2456749477,5.018310546999999,268.86358642577784,273.9605814614444,754.0551011825555
1824000,2553600,0.0,,4,804.225952148,269.537567139,274.015380859,3138128.2574171503,4.477813720000029,269.42577107733337,274.03046671533343,796.1388481987779
1945600,2553600,0.0,,4,848.949035645,270.151519775,274.116729736,3210332.1198904016,3.9652099610000278,269.96475219725,274.1082077025,836.470794677875
2067200,2553600,0.0,,4,891.78302002,270.78503418,274.244384766,3285451.080141051,3.459350585999971,270.48021443683336,274.2035929361667,870.3140767418332
-2188800,2432000,0.0,,4,646.96270752,270.994842529,273.779449463,3271921.3682483262,2.78460693400001,270.218577067,273.5915934245,621.7372639975
-2067200,2432000,0.0,,4,645.666381836,269.698944092,273.380981445,3191855.2348125065,3.6820373529999983,269.523902893,273.333339691125,635.103767395125
-1945600,2432000,0.0,,4,649.546081543,268.721679688,273.120880127,3114479.6290873378,4.399200439000026,268.75434705944446,273.1239284937778,629.2298719618889
-1824000,2432000,0.0,,4,629.670898438,267.958404541,272.946868896,3040000.0,4.988464355000019,267.9643622504444,272.95333184133335,613.6758083768889
-1702400,2432000,0.0,,4,591.524475098,267.364837646,272.865264893,2968634.3257464366,5.500427247000005,267.28117201066675,272.8711853026667,591.6724989151112
-1580800,2432000,0.0,,4,580.239257812,266.723480225,272.83026123,2900612.45946438,6.106781005000016,266.6139560275555,272.8155551486667,572.713779025778
-1459200,2432000,0.0,,4,571.872924805,265.969665527,272.81137085,2836175.0016527544,6.841705322999985,265.9423319497778,272.79076470266665,557.7378675674445
-1337600,2432000,0.0,,4,546.436523438,265.293762207,272.796936035,2775571.609596841,7.503173828000001,265.3351338703333,272.77875094955556,540.2184685602222
-1216000,2432000,0.0,,4,521.008300781,264.82723999,272.787719727,2719058.6606397443,7.960479737000014,264.8948567707778,272.77866278766663,520.2609931098889
-1094400,2432000,0.0,,4,506.11138916,264.638305664,272.80847168,2666896.203454495,8.170166016000053,264.6300184462222,272.7738138835555,499.4682108559999
-972800,2432000,0.0,,4,482.674530029,264.557495117,272.790313721,2619344.1621902226,8.232818604000045,264.4972025554444,272.7673611111111,473.4313795301111
-851200,2432000,0.0,,4,443.964141846,264.527404785,272.789031982,2576657.8042107183,8.261627196999996,264.45492214633333,272.7553236218889,446.58168538399997
-729600,2432000,0.0,,4,424.933410645,264.586334229,272.789276123,2539082.5429670457,8.202941893999991,264.46828206388886,272.73814561622225,424.44484117300004
-608000,2432000,0.0,,4,417.266448975,264.61807251,272.753967285,2506848.2203755374,8.135894774999997,264.52748277455555,272.71553548177775,408.0053371853333
-486400,2432000,0.0,,4,392.560791016,264.700775146,272.710723877,2480163.0914115305,8.009948731000009,264.5753445095556,272.67324490022224,391.8097127278889
-364800,2432000,0.0,,4,366.070953369,264.74029541,272.642272949,2459207.8074046527,7.901977539000029,264.5966288247778,272.62622409411114,379.11172824433334
-243200,2432000,0.0,,4,365.610748291,264.751068115,272.605621338,2444129.7510566004,7.854553222999982,264.6224161783333,272.5877990723333,378.73041449655557
-121600,2432000,0.0,,4,380.323822021,264.863220215,272.613769531,2435038.1023712954,7.75054931599999,264.6631232367778,272.5826449925555,389.3185865614444
0,2432000,0.0,,4,398.369018555,264.998565674,272.653564453,2432000.0,7.654998778999982,264.750023736,272.6068420411111,401.8578355576667
121600,2432000,0.0,,4,406.202453613,265.105621338,272.704193115,2435038.1023712954,7.598571777000018,264.8585883246667,272.64761013466665,411.33521525044443
243200,2432000,0.0,,4,410.374176025,265.209533691,272.736572266,2444129.7510566004,7.527038575000006,264.94663153755556,272.6862928603333,415.1566467283333
364800,2432000,0.0,,4,407.128845215,265.129852295,272.747619629,2459207.8074046527,7.617767334000007,264.94878472222223,272.7217407227778,417.26463826488884
486400,2432000,0.0,,4,405.952392578,264.936065674,272.781860352,2480163.0914115305,7.845794678000004,264.96122572166666,272.75113932299996,421.79692586255555
608000,2432000,0.0,,4,416.842590332,265.339660645,272.831756592,2506848.2203755374,7.492095946999996,265.1348097061111,272.7890387641111,435.3731519908889
729600,2432000,0.0,,4,449.700775146,265.844940186,272.90246582,2539082.5429670457,7.057525634000001,265.4627312555556,272.842654758,456.16355387355554
851200,2432000,0.0,,4,473.739746094,266.032348633,272.985015869,2576657.8042107183,6.952667235999968,265.82005140522216,272.9228210448889,477.6237623426666
972800,2432000,0.0,,4,496.647277832,266.231933594,273.05267334,2619344.1621902226,6.820739746000015,266.1121181911111,273.0314025878889,500.28203667544443
1094400,2432000,0.0,,4,531.564758301,266.467498779,273.178833008,2666896.203454495,6.711334229000045,266.425330268,273.16732788077775,528.0643649631111
1216000,2432000,0.0,,4,569.476318359,266.811645508,273.350952148,2719058.6606397443,6.53930663999995,266.8054029676666,273.3474358451111,564.1445651583334
1337600,2432000,0.0,,4,607.483337402,267.31350708,273.632720947,2775571.609596841,6.319213866999974,267.2396850586667,273.5217319062222,604.2779744465555
1459200,2432000,0.0,,4,649.212097168,267.756896973,273.807556152,2836175.0016527544,6.050659179000036,267.72093370233335,273.66300116633334,645.4596421983333
1580800,2432000,0.0,,4,690.932800293,268.226959229,273.829528809,2900612.45946438,5.602569580000022,268.20365736222226,273.7609625921111,688.7867296006667
1702400,2432000,0.0,,4,737.766967773,268.736297607,273.92401123,2968634.3257464366,5.187713623000036,268.70646497944443,273.8491617837778,735.5839843748888
1824000,2432000,0.0,,4,790.448913574,269.291534424,273.984130859,3040000.0,4.6925964349999845,269.2402852376667,273.9552476668889,786.0003729925555
1945600,2432000,0.0,,4,844.53704834,269.9480896,274.099456787,3114479.6290873378,4.151367187000005,269.8330010308889,274.068013509,835.727423774
2067200,2432000,0.0,,4,892.927978516,270.658111572,274.211486816,3191855.2348125065,3.5533752439999944,270.382358551125,274.18038940425,872.490257263375
2188800,2432000,0.0,,4,917.392578125,271.39440918,274.401550293,3271921.3682483262,3.0071411129999888,270.85405985516667,274.28182474783335,898.8581136070001
-2310400,2310400,0.0,,4,558.648986816,271.189178467,274.045288086,3267399.0145067987,2.8561096190000512,270.4726359048333,273.78919982916665,619.8114013671667
-2188800,2310400,0.0,,4,629.953369141,270.156311035,273.618225098,3182576.5662431438,3.4619140629999947,269.842506408625,273.516399383625,610.875022888125
-2067200,2310400,0.0,,4,619.531616211,268.907409668,273.194244385,3100203.8642644132,4.2868347169999765,269.0183478461111,273.255109999,617.7951321072222
-1945600,2310400,0.0,,4,617.004882812,267.915863037,272.969909668,3020481.3391246106,5.054046631000006,268.02154541022225,273.0041232638889,610.2733154297778
