x-axis,y-axis,ice_thickness,ice_velocity,ice_mask,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
1216000,121600,2963.30224609,8.15762710571,2,41.8641815186,219.021972656,272.400817871,1222064.8755283002,53.37884521500001,222.7965775166446,272.3111231780413,38.78385990710496
1337600,121600,2880.07177734,15.1162395477,2,46.3935508728,222.720611572,272.458862305,1343115.899689971,49.73825073300003,224.09203357538019,272.3357304344463,45.056126594548765
1459200,121600,2907.21240234,13.2277612686,2,48.8535270691,224.456161499,272.410675049,1464257.9007811432,47.95451355000003,225.81488629805784,272.3620958564711,56.64856979275702
1580800,121600,2788.26269531,7.63798999786,2,52.8495903015,225.699859619,272.381347656,1585470.0249452842,46.68148803700001,228.0636877895372,272.4021265959918,76.14967945980993
1702400,121600,2689.58666992,4.950319767,2,61.4055328369,227.016616821,272.38571167,1706737.331870373,45.369094848999964,230.79812369859508,272.45619870018186,101.85135301478263
1824000,121600,2699.32836914,7.71116399765,2,74.6842346191,228.937805176,272.414733887,1828048.8396101457,43.476928711,233.89198290613223,272.5290020398595,141.3220535703719
1945600,121600,2913.31396484,12.8533611298,2,88.0992507935,230.84211731,272.473205566,1949396.2962927779,41.631088256,237.338466045281,272.59283396822315,193.38983597241898
2067200,121600,2712.0,25.9292755127,2,134.361740112,233.513031006,272.568725586,2070773.3820966503,39.05569458000002,241.04692506395043,272.6392507001239,251.10416778058266
2188800,121600,2502.50878906,66.9178314209,2,204.375793457,237.682617188,272.691345215,2192175.1754821055,35.00872802700002,244.74707182576032,272.70445364956197,309.6867121546587
2310400,121600,2189.80664062,64.5346450806,2,346.494812012,242.36177063,273.069213867,2313597.7869975585,30.70744323699998,248.3276481943471,272.7947014422231,368.85863598909754
2432000,121600,1646.5814209,13.8827562332,2,558.74786377,248.559356689,273.171356201,2435038.1023712954,24.611999511999983,251.80976716345455,272.8912910902479,431.2183880451331
2553600,121600,199.898696899,969.364257812,3,578.993408203,255.37852478,273.351135254,2556493.5986620425,17.972610473999993,253.79125518795453,272.9409332275,467.00988727916643
2675200,121600,0.0,,4,749.410522461,264.067474365,272.784973145,2677962.210338301,8.717498779999971,255.98547455754547,273.0024956596868,508.6531389024525
2796800,121600,0.0,,4,703.579528809,265.939208984,272.985290527,2799442.2301594294,7.046081543000014,258.3778147263636,273.0713383067272,553.7906160354659
2918400,121600,0.0,,4,693.480407715,266.91897583,273.251739502,2920932.2347497214,6.332763671999999,260.78681410748055,273.1317535003506,599.5425856949611
3040000,121600,0.0,,4,725.604492188,267.565246582,273.367156982,3042431.027977463,5.801910399999997,263.09820094246965,273.1782989501515,649.0560335101818
-3040000,0,0.0,,4,772.93371582,274.232025146,274.698883057,3040000.0,0.46685791099997687,272.1290819572576,274.48840008357575,800.2768295750152
-2918400,0,0.0,,4,787.070861816,273.766784668,274.69152832,2918400.0,0.924743651999961,271.5543272340389,274.3229477126754,788.1188338638701
-2796800,0,0.0,,4,822.25390625,273.201568604,274.635742188,2796800.0,1.434173584000007,270.96610918910227,274.1575872247727,775.1558206731478
-2675200,0,0.0,,4,797.109802246,271.881622314,274.571502686,2675200.0,2.689880371999948,270.3022066366566,273.99611933544446,765.1649792603637
-2553600,0,0.0,,4,745.967163086,270.439788818,274.113586426,2553600.0,3.6737976079999726,269.5316162109091,273.83655450993643,767.1745988325455
-2432000,0,0.0,,4,688.744140625,269.054595947,273.63659668,2432000.0,4.582000733000029,268.528303540405,273.67410934070244,775.2948068666032
-2310400,0,0.0,,4,669.898681641,267.818450928,273.231384277,2310400.0,5.4129333490000135,266.7326322192892,273.4057672674132,762.505715362314
-2188800,0,0.0,,4,629.341796875,266.421203613,272.875976562,2188800.0,6.4547729490000165,264.6078655148099,273.1343121489339,743.3648616065703
-2067200,0,0.0,,4,672.254699707,264.750244141,272.552764893,2067200.0,7.802520752000021,262.29360722311566,272.86047766820656,708.8734485216446
-1945600,0,0.0,,4,888.170166016,262.67868042,272.211517334,1945600.0,9.532836914000029,259.8447699428347,272.60056626501654,661.8951653094298
-1824000,0,692.276794434,22.5266780853,2,1035.64294434,255.003173828,271.871673584,1824000.0,16.868499756000006,257.3754741573967,272.37998495810746,610.5954910782826
-1702400,0,1818.27746582,12.2104406357,2,283.485076904,249.151794434,271.929351807,1702400.0,22.77755737299998,254.90681583623967,272.2025986348265,555.603177094291
-1580800,0,1864.9675293,20.1990795135,2,468.945098877,248.119781494,271.936553955,1580800.0,23.816772461000028,252.5392353909091,272.06177136128923,504.67551674332486
-1459200,0,2447.14501953,10.7432699203,2,332.311279297,244.719573975,271.716033936,1459200.0,26.99645996099997,250.31835647457027,271.94990426054545,456.81608644598595
-1337600,0,1970.78857422,9.18170833588,2,213.464889526,243.177505493,271.512298584,1337600.0,28.334793090999995,248.2579910656694,271.8683817209008,410.12401555591157
-1216000,0,2065.33227539,6.20405817032,2,139.677383423,241.071762085,271.638824463,1216000.0,30.567062378000003,246.3633319444876,271.8137799727768,354.24434321381244
-1094400,0,1281.82800293,8.9268693924,2,98.7806549072,240.185180664,271.692687988,1094400.0,31.507507323999988,244.67814812780168,271.79703490199176,290.5760257815645
-972800,0,2157.96777344,10.468621254,2,114.393791199,240.321289062,271.758972168,972800.0,31.43768310600001,243.1722287264628,271.7969867296116,245.21503788972726
-851200,0,2117.47192383,51.3415794373,2,122.644775391,239.497009277,271.545196533,851200.0,32.048187256000034,241.71066195906613,271.79903619937187,203.8319891307289
-729600,0,1928.42175293,61.7747116089,2,124.625305176,238.656356812,271.652923584,729600.0,32.996566771999994,240.18334872664462,271.80849336985125,174.04388796595867
-608000,0,1621.52246094,15.1760406494,2,123.89125824,236.953109741,271.763977051,608000.0,34.81086730999999,238.61372249382643,271.8249713487851,152.43057881507934
-486400,0,489.701293945,1.20016050339,2,155.150802612,235.134750366,271.79486084,486400.0,36.66011047400002,236.99595818638844,271.84671171834714,135.69554459755125
-364800,0,2457.95556641,30.1082897186,2,140.528640747,234.770568848,271.646179199,364800.0,36.875610351000006,235.34652949561985,271.8631690159256,124.87343156043471
-243200,0,2132.42797852,8.41722106934,2,102.212417603,229.619537354,271.8543396,243200.0,42.234802246000015,233.5923830142562,271.88185964537195,113.50700548662395
-121600,0,2703.19921875,6.37021350861,2,87.3042373657,224.979049683,271.858032227,121600.0,46.878982544000024,231.65340808204132,271.90476346608267,101.5543998686818
0,0,2828.44628906,10.456571579,2,76.9790420532,224.300354004,271.893768311,0.0,47.59341430699996,229.65112657780992,271.9278120561405,87.97174065962147
121600,0,2777.47021484,2.9051027298,2,46.2701339722,222.706848145,271.907684326,121600.0,49.20083618099997,227.53731454894213,271.955797684124,74.25405306858346
243200,0,3100.73022461,0.531143188477,2,37.4083480835,219.504104614,271.942047119,243200.0,52.437942504999995,225.4946304194876,271.982156296438,61.76022272663389
364800,0,3344.87744141,3.16200041771,2,33.7617797852,219.868301392,271.976715088,364800.0,52.108413695999985,223.61755812461982,272.0100392743967,50.20182718324876
486400,0,3107.08764648,4.43484020233,2,24.9452095032,219.897689819,272.022216797,486400.0,52.124526978000006,222.16096622684296,272.04424065207434,40.12581725159752
