x-axis,y-axis,ice_velocity,precipitation,air_temp,ocean_temp,dist,temp_diff,air_roll,ocean_roll,precip_roll
-2432000,2918400,,644.612304688,271.899810791,9.969209968390001e+36,3798905.4423609967,9.969209968390001e+36,272.2001865931715,9.684375397864573e+36,632.639705985
-2310400,2918400,,602.731567383,271.488433838,9.969209968390001e+36,3722231.416771397,9.969209968390001e+36,271.6114336286,9.114706256813715e+36,614.0540457589713
-2188800,2918400,,555.638061523,271.110748291,9.969209968390001e+36,3648000.0,9.969209968390001e+36,271.0086390904001,8.545037115762858e+36,597.0033377511428
-2067200,2918400,,520.727111816,270.577270508,9.969209968390001e+36,3576363.2925081872,9.969209968390001e+36,270.40307617185715,7.690533404186573e+36,581.6918596540858
-1945600,2918400,,509.561676025,269.984375,9.969209968390001e+36,3507480.2807713686,9.969209968390001e+36,269.7817435128286,6.551195122084858e+36,570.2013706752572
-1824000,2918400,,519.145629883,269.312713623,9.969209968390001e+36,3441516.316974249,9.969209968390001e+36,269.12231358117145,5.411856839983143e+36,565.2865949358287
-1702400,2918400,,533.323669434,268.650909424,9.969209968390001e+36,3378642.3782341923,9.969209968390001e+36,268.44976893831426,3.987683987356001e+36,563.7292358398857
-1580800,2918400,,545.603759766,268.018676758,273.039855957,3319034.076354143,5.02117919899996,267.81072823657144,2.848345705254286e+36,562.8556745257143
-1459200,2918400,,555.681030273,267.343841553,272.922912598,3262870.392767693,5.579071044999978,267.2142665318,1.993841993678e+36,560.6569527762571
-1337600,2918400,,542.687744141,266.800079346,272.839782715,3210332.1198904016,6.039703368999994,266.6732997349429,1.1393382821017144e+36,554.8616149902572
-1216000,2918400,,525.326416016,266.395874023,272.77822876,3161600.0,6.382354737000014,266.1979474749429,5.696691410508572e+35,545.0540928432001
-1094400,2918400,,524.845275879,265.986755371,272.735076904,3116852.566291835,6.748321532999967,265.79907313760003,2.848345705254286e+35,533.7489484514572
-972800,2918400,,517.680786133,265.590942383,272.703765869,3076263.7078117994,7.112823485999968,265.4909537179714,272.7704572404571,520.0093688965143
-851200,2918400,,506.736999512,265.236358643,272.683532715,3040000.0,7.447174071999996,265.2589233398857,272.75436750134287,505.7486825125714
-729600,2918400,,506.89364624,265.007751465,272.692962646,3008217.864450645,7.685211181,265.08853410997136,272.74032069611434,493.44733712334283
-608000,2918400,,501.260864258,264.87008667,272.714538574,2981060.643462323,7.844451904000039,264.9711138044571,272.7278485979143,483.62786429271426
-486400,2918400,,487.0027771,264.784667969,272.703918457,2958655.694737054,7.919250487999989,264.9063075474572,272.7179347446857,477.12944771905717
